index,date,open,high,low,close,volume
34,"2020/06/18, 17:00:00",99.96,99.96,99.96,99.96,0.0
35,"2020/06/21, 17:00:00",99.965,99.965,99.965,99.965,0.0
36,"2020/06/22, 17:00:00",99.965,99.965,99.965,99.965,0.0
37,"2020/06/23, 17:00:00",99.965,99.965,99.965,99.965,0.0
38,"2020/06/24, 17:00:00",99.97,99.97,99.97,99.97,0.0
39,"2020/06/25, 17:00:00",99.975,99.975,99.975,99.975,0.0
40,"2020/06/28, 17:00:00",99.995,99.995,99.995,99.995,0.0
41,"2020/06/29, 17:00:00",99.995,99.995,99.995,99.995,0.0
42,"2020/06/30, 17:00:00",99.99,99.99,99.99,99.99,0.0
43,"2020/07/01, 17:00:00",99.995,99.995,99.995,99.995,0.0
44,"2020/07/02, 17:00:00",99.99,99.99,99.99,99.99,0.0
45,"2020/07/06, 17:00:00",100.0,100.0,100.0,100.0,0.0
46,"2020/07/07, 17:00:00",100.01,100.01,100.01,100.01,0.0
47,"2020/07/08, 17:00:00",100.015,100.015,100.015,100.015,0.0
48,"2020/07/09, 17:00:00",100.02,100.02,100.02,100.02,0.0
49,"2020/07/12, 17:00:00",100.01,100.01,100.01,100.01,0.0
50,"2020/07/13, 17:00:00",100.015,100.015,100.015,100.015,0.0
51,"2020/07/14, 17:00:00",100.005,100.005,100.005,100.005,0.0
52,"2020/07/15, 17:00:00",100.01,100.01,100.01,100.01,0.0
53,"2020/07/16, 17:00:00",100.005,100.005,100.005,100.005,0.0
54,"2020/07/19, 17:00:00",100.005,100.005,100.005,100.005,0.0
55,"2020/07/20, 17:00:00",100.01,100.01,100.01,100.01,0.0
56,"2020/07/21, 17:00:00",100.015,100.015,100.015,100.015,0.0
57,"2020/07/22, 17:00:00",100.015,100.015,100.015,100.015,0.0
58,"2020/07/23, 17:00:00",100.015,100.015,100.015,100.015,0.0
59,"2020/07/26, 17:00:00",100.005,100.005,100.005,100.005,0.0
60,"2020/07/27, 17:00:00",100.015,100.015,100.015,100.015,0.0
61,"2020/07/28, 17:00:00",100.02,100.02,100.02,100.02,0.0
62,"2020/07/29, 17:00:00",100.035,100.035,100.035,100.035,0.0
63,"2020/07/30, 17:00:00",100.045,100.045,100.045,100.045,0.0
64,"2020/08/02, 17:00:00",100.05,100.05,100.05,100.05,0.0
65,"2020/08/03, 17:00:00",100.05,100.05,100.05,100.05,0.0
66,"2020/08/04, 17:00:00",100.035,100.035,100.035,100.035,0.0
67,"2020/08/05, 17:00:00",100.035,100.035,100.035,100.035,0.0
68,"2020/08/06, 17:00:00",100.015,100.015,100.015,100.015,0.0
69,"2020/08/09, 17:00:00",100.005,100.005,100.005,100.005,0.0
70,"2020/08/10, 17:00:00",99.975,99.975,99.975,99.975,0.0
71,"2020/08/11, 17:00:00",99.975,99.975,99.975,99.975,0.0
72,"2020/08/12, 17:00:00",99.99,99.99,99.99,99.99,0.0
73,"2020/08/13, 17:00:00",99.99,99.99,99.99,99.99,0.0
74,"2020/08/16, 17:00:00",99.99,99.99,99.99,99.99,0.0
75,"2020/08/17, 17:00:00",99.995,99.995,99.995,99.995,0.0
76,"2020/08/18, 17:00:00",100.005,100.005,100.005,100.005,0.0
77,"2020/08/19, 17:00:00",100.005,100.005,100.005,100.005,0.0
78,"2020/08/20, 17:00:00",99.995,99.995,99.995,99.995,0.0
79,"2020/08/23, 17:00:00",99.99,99.99,99.99,99.99,0.0
80,"2020/08/24, 17:00:00",99.98,99.98,99.98,99.98,0.0
81,"2020/08/25, 17:00:00",99.975,99.975,99.975,99.975,0.0
82,"2020/08/26, 17:00:00",99.965,99.965,99.965,99.965,0.0
83,"2020/08/27, 17:00:00",99.985,99.985,99.985,99.985,0.0
84,"2020/08/30, 17:00:00",99.985,99.985,99.985,99.985,0.0
85,"2020/08/31, 17:00:00",99.99,99.99,99.99,99.99,0.0
86,"2020/09/01, 17:00:00",99.985,99.985,99.985,99.985,0.0
87,"2020/09/02, 17:00:00",99.995,99.995,99.995,99.995,0.0
88,"2020/09/03, 17:00:00",99.975,99.975,99.975,99.975,0.0
89,"2020/09/06, 17:00:00",99.985,99.985,99.985,99.985,0.0
90,"2020/09/08, 17:00:00",99.98,99.98,99.98,99.98,0.0
91,"2020/09/09, 17:00:00",99.99,99.99,99.99,99.99,0.0
92,"2020/09/10, 17:00:00",100.005,100.005,100.005,100.005,0.0
93,"2020/09/13, 17:00:00",100.0,100.0,100.0,100.0,0.0
94,"2020/09/14, 17:00:00",99.995,99.995,99.995,99.995,0.0
95,"2020/09/15, 17:00:00",99.985,99.985,99.985,99.985,0.0
96,"2020/09/16, 17:00:00",99.99,99.99,99.99,99.99,0.0
97,"2020/09/17, 17:00:00",99.985,99.985,99.985,99.985,0.0
98,"2020/09/20, 17:00:00",99.985,99.985,99.985,99.985,0.0
99,"2020/09/21, 17:00:00",99.995,99.995,99.995,99.995,0.0
100,"2020/09/22, 17:00:00",99.985,99.985,99.985,99.985,0.0
101,"2020/09/23, 17:00:00",99.985,99.985,99.985,99.985,0.0
102,"2020/09/24, 17:00:00",99.985,99.985,99.985,99.985,0.0
103,"2020/09/27, 17:00:00",99.98,99.98,99.98,99.98,0.0
104,"2020/09/28, 17:00:00",99.98,99.98,99.98,99.98,0.0
105,"2020/09/29, 17:00:00",99.98,99.98,99.98,99.98,0.0
106,"2020/09/30, 17:00:00",99.98,99.98,99.98,99.98,0.0
107,"2020/10/01, 17:00:00",99.98,99.98,99.98,99.98,0.0
108,"2020/10/04, 17:00:00",99.96,99.96,99.96,99.96,0.0
109,"2020/10/05, 17:00:00",99.96,99.96,99.96,99.96,0.0
110,"2020/10/06, 17:00:00",99.95,99.95,99.95,99.95,0.0
111,"2020/10/07, 17:00:00",99.945,99.945,99.945,99.945,0.0
112,"2020/10/08, 17:00:00",99.945,99.945,99.945,99.945,0.0
113,"2020/10/11, 17:00:00",99.94,99.94,99.94,99.94,0.0
114,"2020/10/12, 17:00:00",99.95,99.95,99.95,99.95,0.0
115,"2020/10/13, 17:00:00",99.95,99.95,99.95,99.95,0.0
116,"2020/10/14, 17:00:00",99.95,99.95,99.95,99.95,0.0
117,"2020/10/15, 17:00:00",99.945,99.945,99.945,99.945,0.0
118,"2020/10/18, 17:00:00",99.945,99.945,99.945,99.945,0.0
119,"2020/10/19, 17:00:00",99.94,99.94,99.94,99.94,0.0
120,"2020/10/20, 17:00:00",99.935,99.935,99.935,99.935,0.0
121,"2020/10/21, 17:00:00",99.93,99.93,99.93,99.93,0.0
122,"2020/10/22, 17:00:00",99.935,99.935,99.935,99.935,0.0
123,"2020/10/25, 17:00:00",99.945,99.945,99.945,99.945,0.0
124,"2020/10/26, 17:00:00",99.945,99.945,99.945,99.945,0.0
125,"2020/10/27, 17:00:00",99.945,99.945,99.945,99.945,0.0
126,"2020/10/28, 17:00:00",99.94,99.94,99.94,99.94,0.0
127,"2020/10/29, 17:00:00",99.935,99.935,99.935,99.935,0.0
128,"2020/11/01, 17:00:00",99.92,99.92,99.92,99.92,0.0
129,"2020/11/02, 17:00:00",99.915,99.915,99.915,99.915,0.0
130,"2020/11/03, 17:00:00",99.94,99.94,99.94,99.94,0.0
131,"2020/11/04, 17:00:00",99.93,99.93,99.93,99.93,0.0
132,"2020/11/05, 17:00:00",99.915,99.915,99.915,99.915,0.0
133,"2020/11/08, 17:00:00",99.875,99.875,99.875,99.875,0.0
134,"2020/11/09, 17:00:00",99.88,99.88,99.88,99.88,0.0
135,"2020/11/10, 17:00:00",99.88,99.88,99.88,99.88,0.0
136,"2020/11/11, 17:00:00",99.885,99.885,99.885,99.885,0.0
137,"2020/11/12, 17:00:00",99.88,99.88,99.88,99.88,0.0
138,"2020/11/15, 17:00:00",99.88,99.88,99.88,99.88,0.0
139,"2020/11/16, 17:00:00",99.88,99.88,99.88,99.88,0.0
140,"2020/11/17, 17:00:00",99.875,99.875,99.875,99.875,0.0
141,"2020/11/18, 17:00:00",99.88,99.88,99.88,99.88,0.0
142,"2020/11/19, 17:00:00",99.88,99.88,99.88,99.88,0.0
143,"2020/11/22, 17:00:00",99.875,99.875,99.875,99.875,0.0
144,"2020/11/23, 17:00:00",99.875,99.875,99.875,99.875,0.0
145,"2020/11/24, 17:00:00",99.875,99.875,99.875,99.875,0.0
146,"2020/11/25, 17:00:00",99.88,99.88,99.88,99.88,0.0
147,"2020/11/29, 17:00:00",99.88,99.88,99.88,99.88,0.0
148,"2020/11/30, 17:00:00",99.86,99.86,99.86,99.86,0.0
149,"2020/12/01, 17:00:00",99.855,99.855,99.855,99.855,0.0
150,"2020/12/02, 17:00:00",99.86,99.86,99.86,99.86,0.0
151,"2020/12/03, 17:00:00",99.85,99.85,99.85,99.85,0.0
152,"2020/12/06, 17:00:00",99.86,99.86,99.86,99.86,0.0
153,"2020/12/07, 17:00:00",99.855,99.855,99.855,99.855,0.0
154,"2020/12/08, 17:00:00",99.85,99.85,99.85,99.85,0.0
155,"2020/12/09, 17:00:00",99.85,99.85,99.85,99.85,0.0
156,"2020/12/10, 17:00:00",99.865,99.865,99.865,99.865,0.0
157,"2020/12/13, 17:00:00",99.855,99.855,99.855,99.855,0.0
158,"2020/12/14, 17:00:00",99.845,99.845,99.845,99.845,0.0
159,"2020/12/15, 17:00:00",99.845,99.845,99.845,99.845,0.0
160,"2020/12/16, 17:00:00",99.845,99.845,99.845,99.845,0.0
161,"2020/12/17, 17:00:00",99.85,99.85,99.85,99.85,0.0
162,"2020/12/20, 17:00:00",99.85,99.85,99.85,99.85,0.0
163,"2020/12/21, 17:00:00",99.85,99.85,99.85,99.85,0.0
164,"2020/12/22, 17:00:00",99.85,99.85,99.85,99.85,0.0
165,"2020/12/23, 17:00:00",99.855,99.855,99.855,99.855,0.0
166,"2020/12/27, 17:00:00",99.85,99.85,99.85,99.85,0.0
167,"2020/12/28, 17:00:00",99.85,99.85,99.85,99.85,0.0
168,"2020/12/29, 17:00:00",99.85,99.85,99.85,99.85,0.0
169,"2020/12/30, 17:00:00",99.86,99.86,99.86,99.86,0.0
170,"2021/01/03, 17:00:00",99.87,99.87,99.87,99.87,0.0
171,"2021/01/04, 17:00:00",99.87,99.87,99.87,99.87,0.0
172,"2021/01/05, 17:00:00",99.855,99.855,99.855,99.855,0.0
173,"2021/01/06, 17:00:00",99.845,99.845,99.845,99.845,0.0
174,"2021/01/07, 17:00:00",99.85,99.85,99.85,99.85,0.0
175,"2021/01/10, 17:00:00",99.85,99.85,99.85,99.85,0.0
176,"2021/01/11, 17:00:00",99.84,99.84,99.84,99.84,0.0
177,"2021/01/12, 17:00:00",99.84,99.84,99.84,99.84,0.0
178,"2021/01/13, 17:00:00",99.85,99.85,99.85,99.85,0.0
179,"2021/01/14, 17:00:00",99.84,99.84,99.84,99.84,0.0
180,"2021/01/17, 17:00:00",99.85,99.85,99.85,99.85,0.0
181,"2021/01/19, 17:00:00",99.86,99.86,99.86,99.86,0.0
182,"2021/01/20, 17:00:00",99.85,99.85,99.85,99.85,0.0
183,"2021/01/21, 17:00:00",99.85,99.85,99.85,99.85,0.0
184,"2021/01/24, 17:00:00",99.855,99.855,99.855,99.855,0.0
185,"2021/01/25, 17:00:00",99.855,99.855,99.855,99.855,0.0
186,"2021/01/26, 17:00:00",99.855,99.855,99.855,99.855,0.0
187,"2021/01/27, 17:00:00",99.845,99.845,99.845,99.845,0.0
188,"2021/01/28, 17:00:00",99.855,99.855,99.855,99.855,0.0
189,"2021/01/31, 17:00:00",99.86,99.86,99.86,99.86,0.0
190,"2021/02/01, 17:00:00",99.855,99.855,99.855,99.855,0.0
191,"2021/02/02, 17:00:00",99.85,99.85,99.85,99.85,0.0
192,"2021/02/03, 17:00:00",99.835,99.835,99.835,99.835,0.0
193,"2021/02/04, 17:00:00",99.83,99.83,99.83,99.83,0.0
194,"2021/02/07, 17:00:00",99.825,99.825,99.825,99.825,0.0
195,"2021/02/08, 17:00:00",99.825,99.825,99.825,99.825,0.0
196,"2021/02/09, 17:00:00",99.83,99.83,99.83,99.83,0.0
197,"2021/02/10, 17:00:00",99.835,99.835,99.835,99.835,0.0
198,"2021/02/11, 17:00:00",99.795,99.795,99.795,99.795,0.0
199,"2021/02/14, 17:00:00",99.775,99.775,99.775,99.775,0.0
200,"2021/02/16, 17:00:00",99.785,99.785,99.785,99.785,0.0
201,"2021/02/17, 17:00:00",99.785,99.785,99.785,99.785,0.0
202,"2021/02/18, 17:00:00",99.76,99.76,99.76,99.76,0.0
203,"2021/02/21, 17:00:00",99.76,99.76,99.76,99.76,0.0
204,"2021/02/22, 17:00:00",99.765,99.765,99.765,99.765,0.0
205,"2021/02/23, 17:00:00",99.765,99.765,99.765,99.765,0.0
206,"2021/02/24, 17:00:00",99.705,99.705,99.705,99.705,0.0
207,"2021/02/25, 17:00:00",99.705,99.705,99.705,99.705,0.0
208,"2021/02/28, 17:00:00",99.715,99.715,99.715,99.715,0.0
209,"2021/03/01, 17:00:00",99.72,99.72,99.72,99.72,0.0
210,"2021/03/02, 17:00:00",99.705,99.705,99.705,99.705,0.0
211,"2021/03/03, 17:00:00",99.695,99.695,99.695,99.695,0.0
212,"2021/03/04, 17:00:00",99.69,99.69,99.69,99.69,0.0
213,"2021/03/07, 17:00:00",99.675,99.675,99.675,99.675,0.0
214,"2021/03/08, 17:00:00",99.675,99.675,99.675,99.675,0.0
215,"2021/03/09, 17:00:00",99.69,99.69,99.69,99.69,0.0
216,"2021/03/10, 17:00:00",99.695,99.695,99.695,99.695,0.0
217,"2021/03/11, 17:00:00",99.685,99.685,99.685,99.685,0.0
218,"2021/03/14, 17:00:00",99.69,99.69,99.69,99.69,0.0
219,"2021/03/15, 17:00:00",99.695,99.695,99.695,99.695,0.0
220,"2021/03/16, 17:00:00",99.705,99.705,99.705,99.705,0.0
221,"2021/03/17, 17:00:00",99.69,99.69,99.69,99.69,0.0
222,"2021/03/18, 17:00:00",99.69,99.69,99.69,99.69,0.0
223,"2021/03/21, 17:00:00",99.685,99.685,99.685,99.685,0.0
224,"2021/03/22, 17:00:00",99.685,99.685,99.685,99.685,0.0
225,"2021/03/23, 17:00:00",99.69,99.69,99.69,99.69,0.0
226,"2021/03/24, 17:00:00",99.695,99.695,99.695,99.695,0.0
227,"2021/03/25, 17:00:00",99.685,99.685,99.685,99.685,0.0
228,"2021/03/28, 17:00:00",99.675,99.675,99.675,99.675,0.0
229,"2021/03/29, 17:00:00",99.655,99.655,99.655,99.655,0.0
230,"2021/03/30, 17:00:00",99.635,99.635,99.635,99.635,0.0
231,"2021/03/31, 17:00:00",99.635,99.635,99.635,99.635,1.0
232,"2021/04/04, 17:00:00",99.54,99.55,99.54,99.55,3.0
233,"2021/04/05, 17:00:00",99.58,99.58,99.58,99.58,0.0
234,"2021/04/06, 17:00:00",99.625,99.625,99.625,99.625,0.0
235,"2021/04/07, 17:00:00",99.635,99.635,99.635,99.635,0.0
236,"2021/04/08, 17:00:00",99.63,99.63,99.63,99.63,0.0
237,"2021/04/11, 17:00:00",99.62,99.62,99.62,99.62,0.0
238,"2021/04/12, 17:00:00",99.635,99.635,99.635,99.635,0.0
239,"2021/04/13, 17:00:00",99.625,99.625,99.625,99.625,0.0
240,"2021/04/14, 17:00:00",99.655,99.655,99.655,99.655,0.0
241,"2021/04/15, 17:00:00",99.64,99.64,99.64,99.64,0.0
242,"2021/04/18, 17:00:00",99.645,99.645,99.645,99.645,0.0
243,"2021/04/19, 17:00:00",99.645,99.66,99.645,99.66,7.0
244,"2021/04/20, 17:00:00",99.65,99.65,99.65,99.65,0.0
245,"2021/04/21, 17:00:00",99.65,99.65,99.65,99.65,0.0
246,"2021/04/22, 17:00:00",99.65,99.65,99.65,99.65,0.0
247,"2021/04/25, 17:00:00",99.64,99.64,99.64,99.64,0.0
248,"2021/04/26, 17:00:00",99.63,99.63,99.63,99.63,0.0
249,"2021/04/27, 17:00:00",99.64,99.64,99.64,99.64,0.0
250,"2021/04/28, 17:00:00",99.64,99.64,99.64,99.64,0.0
251,"2021/04/29, 17:00:00",99.64,99.64,99.64,99.64,0.0
252,"2021/05/02, 17:00:00",99.655,99.655,99.655,99.655,0.0
253,"2021/05/03, 17:00:00",99.655,99.655,99.655,99.655,0.0
254,"2021/05/04, 17:00:00",99.655,99.655,99.655,99.655,0.0
255,"2021/05/05, 17:00:00",99.67,99.67,99.67,99.67,0.0
256,"2021/05/06, 17:00:00",99.71,99.71,99.71,99.71,0.0
257,"2021/05/09, 17:00:00",99.71,99.71,99.71,99.71,0.0
258,"2021/05/10, 17:00:00",99.695,99.695,99.695,99.695,0.0
259,"2021/05/11, 17:00:00",99.66,99.66,99.66,99.66,0.0
260,"2021/05/12, 17:00:00",99.67,99.67,99.67,99.67,0.0
261,"2021/05/13, 17:00:00",99.67,99.67,99.67,99.67,0.0
262,"2021/05/16, 17:00:00",99.67,99.67,99.67,99.67,0.0
263,"2021/05/17, 17:00:00",99.67,99.67,99.67,99.67,0.0
264,"2021/05/18, 17:00:00",99.655,99.655,99.655,99.655,0.0
265,"2021/05/19, 17:00:00",99.665,99.665,99.665,99.665,0.0
266,"2021/05/20, 17:00:00",99.67,99.67,99.67,99.67,0.0
267,"2021/05/23, 17:00:00",99.675,99.675,99.675,99.675,0.0
268,"2021/05/24, 17:00:00",99.67,99.7,99.67,99.7,12.0
269,"2021/05/25, 17:00:00",99.69,99.69,99.69,99.69,0.0
270,"2021/05/26, 17:00:00",99.675,99.68,99.675,99.68,23.0
271,"2021/05/27, 17:00:00",99.665,99.68,99.665,99.67,33.0
272,"2021/05/30, 17:00:00",99.67,99.67,99.67,99.67,30.0
273,"2021/06/01, 17:00:00",99.68,99.68,99.68,99.68,0.0
274,"2021/06/02, 17:00:00",99.67,99.67,99.665,99.665,50.0
275,"2021/06/03, 17:00:00",99.69,99.69,99.69,99.69,2.0
276,"2021/06/06, 17:00:00",99.685,99.685,99.685,99.685,0.0
277,"2021/06/07, 17:00:00",99.7,99.7,99.69,99.69,6.0
278,"2021/06/08, 17:00:00",99.69,99.715,99.69,99.7,471.0
279,"2021/06/09, 17:00:00",99.7,99.705,99.69,99.705,360.0
280,"2021/06/10, 17:00:00",99.715,99.72,99.69,99.69,106.0
281,"2021/06/13, 17:00:00",99.685,99.685,99.68,99.68,155.0
282,"2021/06/14, 17:00:00",99.675,99.675,99.675,99.675,5.0
283,"2021/06/15, 17:00:00",99.685,99.69,99.62,99.62,446.0
284,"2021/06/16, 17:00:00",99.575,99.575,99.575,99.575,9.0
285,"2021/06/17, 17:00:00",99.55,99.55,99.525,99.53,26.0
286,"2021/06/20, 17:00:00",99.53,99.54,99.53,99.535,30.0
287,"2021/06/21, 17:00:00",99.55,99.55,99.55,99.55,0.0
288,"2021/06/22, 17:00:00",99.515,99.515,99.515,99.515,0.0
289,"2021/06/23, 17:00:00",99.5,99.5,99.5,99.5,0.0
290,"2021/06/24, 17:00:00",99.505,99.505,99.495,99.495,6.0
291,"2021/06/27, 17:00:00",99.505,99.505,99.505,99.505,0.0
292,"2021/06/28, 17:00:00",99.505,99.505,99.505,99.505,0.0
293,"2021/06/29, 17:00:00",99.5,99.5,99.5,99.5,0.0
294,"2021/06/30, 17:00:00",99.49,99.49,99.49,99.49,0.0
295,"2021/07/01, 17:00:00",99.53,99.53,99.53,99.53,0.0
296,"2021/07/04, 17:00:00",99.57,99.575,99.555,99.555,39.0
297,"2021/07/06, 17:00:00",99.585,99.585,99.57,99.57,25.0
298,"2021/07/07, 17:00:00",99.615,99.62,99.605,99.605,23.0
299,"2021/07/08, 17:00:00",99.575,99.575,99.575,99.575,0.0
300,"2021/07/11, 17:00:00",99.56,99.56,99.56,99.56,0.0
301,"2021/07/12, 17:00:00",99.53,99.53,99.505,99.505,7.0
302,"2021/07/13, 17:00:00",99.515,99.545,99.515,99.545,5.0
303,"2021/07/14, 17:00:00",99.57,99.57,99.55,99.55,1.0
304,"2021/07/15, 17:00:00",99.55,99.55,99.55,99.55,0.0
305,"2021/07/18, 17:00:00",99.61,99.61,99.61,99.61,63.0
306,"2021/07/19, 17:00:00",99.64,99.645,99.64,99.645,28.0
307,"2021/07/20, 17:00:00",99.615,99.615,99.615,99.615,0.0
308,"2021/07/21, 17:00:00",99.62,99.62,99.62,99.62,0.0
309,"2021/07/22, 17:00:00",99.625,99.625,99.625,99.625,0.0
310,"2021/07/25, 17:00:00",99.62,99.62,99.62,99.62,18.0
311,"2021/07/26, 17:00:00",99.635,99.635,99.635,99.635,2.0
312,"2021/07/27, 17:00:00",99.615,99.615,99.6,99.6,7.0
313,"2021/07/28, 17:00:00",99.615,99.615,99.615,99.615,2.0
314,"2021/07/29, 17:00:00",99.625,99.635,99.625,99.635,6.0
315,"2021/08/01, 17:00:00",99.66,99.66,99.66,99.66,0.0
316,"2021/08/02, 17:00:00",99.675,99.695,99.67,99.67,31.0
317,"2021/08/03, 17:00:00",99.67,99.7,99.64,99.645,45.0
318,"2021/08/04, 17:00:00",99.65,99.65,99.6,99.615,62.0
319,"2021/08/05, 17:00:00",99.585,99.585,99.575,99.575,43.0
320,"2021/08/08, 17:00:00",99.57,99.585,99.56,99.565,8.0
321,"2021/08/09, 17:00:00",99.555,99.56,99.535,99.535,12.0
322,"2021/08/10, 17:00:00",99.56,99.59,99.56,99.56,368.0
323,"2021/08/11, 17:00:00",99.56,99.56,99.54,99.55,53.0
324,"2021/08/12, 17:00:00",99.55,99.565,99.55,99.56,40.0
325,"2021/08/15, 17:00:00",99.595,99.595,99.58,99.58,45.0
326,"2021/08/16, 17:00:00",99.595,99.605,99.565,99.565,93.0
327,"2021/08/17, 17:00:00",99.56,99.57,99.54,99.565,179.0
328,"2021/08/18, 17:00:00",99.57,99.57,99.57,99.57,9.0
329,"2021/08/19, 17:00:00",99.565,99.565,99.565,99.565,2.0
330,"2021/08/22, 17:00:00",99.57,99.57,99.57,99.57,0.0
331,"2021/08/23, 17:00:00",99.56,99.57,99.56,99.565,14.0
332,"2021/08/24, 17:00:00",99.57,99.57,99.56,99.56,12.0
333,"2021/08/25, 17:00:00",99.56,99.56,99.56,99.56,0.0
334,"2021/08/26, 17:00:00",99.585,99.585,99.585,99.585,10.0
335,"2021/08/29, 17:00:00",99.605,99.605,99.605,99.605,0.0
336,"2021/08/30, 17:00:00",99.615,99.625,99.605,99.61,201.0
337,"2021/08/31, 17:00:00",99.61,99.625,99.61,99.61,92.0
338,"2021/09/01, 17:00:00",99.625,99.63,99.615,99.615,167.0
339,"2021/09/02, 17:00:00",99.64,99.64,99.63,99.63,176.0
340,"2021/09/05, 17:00:00",99.61,99.61,99.61,99.61,0.0
341,"2021/09/07, 17:00:00",99.615,99.615,99.61,99.615,108.0
342,"2021/09/08, 17:00:00",99.615,99.63,99.615,99.615,127.0
343,"2021/09/09, 17:00:00",99.61,99.61,99.6,99.605,66.0
344,"2021/09/12, 17:00:00",99.595,99.61,99.595,99.6,523.0
345,"2021/09/13, 17:00:00",99.6,99.625,99.595,99.615,398.0
346,"2021/09/14, 17:00:00",99.615,99.615,99.6,99.61,83.0
347,"2021/09/15, 17:00:00",99.6,99.6,99.59,99.595,23.0
348,"2021/09/16, 17:00:00",99.58,99.59,99.57,99.59,27.0
349,"2021/09/19, 17:00:00",99.605,99.605,99.6,99.6,11.0
350,"2021/09/20, 17:00:00",99.61,99.62,99.61,99.61,355.0
351,"2021/09/21, 17:00:00",99.595,99.6,99.555,99.565,138.0
352,"2021/09/22, 17:00:00",99.54,99.54,99.515,99.53,343.0
353,"2021/09/23, 17:00:00",99.52,99.525,99.5,99.5,181.0
354,"2021/09/26, 17:00:00",99.51,99.51,99.485,99.49,470.0
355,"2021/09/27, 17:00:00",99.495,99.505,99.465,99.485,842.0
356,"2021/09/28, 17:00:00",99.5,99.515,99.5,99.5,491.0
357,"2021/09/29, 17:00:00",99.51,99.515,99.495,99.51,110.0
358,"2021/09/30, 17:00:00",99.535,99.55,99.535,99.545,615.0
359,"2021/10/03, 17:00:00",99.55,99.555,99.53,99.54,929.0
360,"2021/10/04, 17:00:00",99.535,99.535,99.525,99.53,660.0
361,"2021/10/05, 17:00:00",99.52,99.52,99.5,99.5,791.0
362,"2021/10/06, 17:00:00",99.49,99.5,99.48,99.48,130.0
363,"2021/10/07, 17:00:00",99.47,99.49,99.445,99.455,1478.0
364,"2021/10/10, 17:00:00",99.445,99.445,99.415,99.42,196.0
365,"2021/10/11, 17:00:00",99.42,99.425,99.395,99.4,532.0
366,"2021/10/12, 17:00:00",99.4,99.4,99.335,99.355,1770.0
367,"2021/10/13, 17:00:00",99.365,99.38,99.36,99.375,642.0
368,"2021/10/14, 17:00:00",99.365,99.365,99.29,99.295,1113.0
369,"2021/10/17, 17:00:00",99.28,99.28,99.195,99.255,1262.0
370,"2021/10/18, 17:00:00",99.27,99.31,99.265,99.29,482.0
371,"2021/10/19, 17:00:00",99.26,99.32,99.24,99.3,480.0
372,"2021/10/20, 17:00:00",99.255,99.26,99.205,99.21,766.0
373,"2021/10/21, 17:00:00",99.205,99.21,99.14,99.17,599.0
374,"2021/10/24, 17:00:00",99.19,99.235,99.18,99.215,1328.0
375,"2021/10/25, 17:00:00",99.225,99.23,99.19,99.205,132.0
376,"2021/10/26, 17:00:00",99.18,99.215,99.105,99.17,1468.0
